Jahr,Ort,Ausfuhr: Gewicht (t),Ausfuhr: Wert (Tsd. EUR),Einfuhr: Gewicht (t),Einfuhr: Wert (Tsd. EUR)
2008,Berlin,1906249,11575460,3726000.7,8836354
2009,Berlin,1520285.5,10460872,3280393,8332920
2010,Berlin,1768526.6,12041296,3788885.2,9504931
2011,Berlin,1843390.3,12995735,3990575.7,10247531
2012,Berlin,1866142.5,13630766,3386676.5,9885480
2013,Berlin,1812326.6,12926404,3508760,9729719
2014,Berlin,1969493.1,13307452,4285590.9,9910714
2015,Berlin,2036349.9,14077861,3539258.2,11728684
2016,Berlin,2463796.3,15147156,4010693.6,12113675
